CODAUTO_x,CPRO_x,CMUN_x,DC,NOMBRE_x,COMARCA_x,CODMUN,NOMBRE_COMARCA_x,LONGITUD_E,LATITUD_ET,CODAUTO_y,CPRO_y,CMUN_y,NOMBRE_y,COMARCA_y,NOMBRE_COMARCA_y,MEANMDT,STDMDT,MEANPENDI,STDPENDI,MEANDISN10M,STDDISN10M,MEANCARRETN,STDCARRETN,MEANDISAUT,STDDISAUT,MEANDISFERR,STDDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
06,39,027,9,Campoo de Enmedio,2,39027,Campoo-Los Valles,-4.1279202735,42.99275126375,06,39,027,Campoo de Enmedio,2,Campoo-Los Valles,976.212989,136.082903,9.379957,6.511628,4753.581507,2045.203692,2272.772098,1212.461555,2026.39633,1069.265203,3361.525856,1153.91503,41384.477904,4449.289411,4427.385268,4596.743851,3776.479906
06,39,017,1,Campoo de Yuso,2,39017,Campoo-Los Valles,-4.001016717571429,43.02056514071428,06,39,017,Campoo de Yuso,2,Campoo-Los Valles,920.526408,106.054428,6.558114,5.794327,12907.026005,4402.384174,5359.88767,1960.25785,8915.418033,3649.299293,7535.711511,1765.964094,38134.204041,3749.853493,4288.889586,11092.556908,3657.872479
06,39,032,4,Hermandad de Campoo de Suso,2,39032,Campoo-Los Valles,-4.229098387625,43.01432907791667,06,39,032,Hermandad de Campoo de Suso,2,Campoo-Los Valles,1268.334007,309.800311,13.731416,7.894937,10713.175091,4401.927564,10195.421113,4494.995219,9776.317072,4588.783021,10386.062489,4361.179622,40429.173213,9703.298414,6331.762426,9664.787384,5266.111092
06,39,051,4,Pesquera,2,39051,Campoo-Los Valles,-4.075962222,43.08083049,06,39,051,Pesquera,2,Campoo-Los Valles,731.720339,112.596021,18.30196,9.429756,11111.329567,791.218227,1247.765676,590.960438,1340.20526,704.757783,1330.744499,577.893963,30609.886076,6928.34482,10922.124939,10420.841649,2787.054576
06,39,059,1,Reinosa,2,39059,Campoo-Los Valles,-4.137972222,43.00105556,06,39,059,Reinosa,2,Campoo-Los Valles,856.22408,10.368299,1.947525,1.586501,881.273686,404.768842,1335.35206,526.696478,970.081509,445.439706,995.939501,561.864758,40531.381622,692.963584,716.824294,1091.010003,890.698153
06,39,065,1,"Rozas de Valdearroyo, Las",2,39065,Campoo-Los Valles,-4.01681421475,42.971345525,06,39,065,"Rozas de Valdearroyo, Las",2,Campoo-Los Valles,901.069265,66.99889,6.811106,5.439717,10554.790681,2443.890127,8011.635301,1835.376033,8502.897907,2174.896747,8926.150364,1845.200909,44179.835495,2827.016112,7988.20146,10047.326957,2684.700457
06,39,070,3,San Miguel de Aguayo,2,39070,Campoo-Los Valles,-4.0296227065,43.0634419525,06,39,070,San Miguel de Aguayo,2,Campoo-Los Valles,958.996225,105.577849,12.52742,6.67328,13053.91817,2107.951955,4836.735752,1504.759012,5937.257715,1833.902642,5442.537671,1756.349525,32790.142069,6025.363215,7165.640206,11866.28345,2728.297618
06,39,077,8,Santiurde de Reinosa,2,39077,Campoo-Los Valles,-4.08130293575,43.057251915,06,39,077,Santiurde de Reinosa,2,Campoo-Los Valles,870.321201,141.249612,15.83935,7.453367,8409.78617,1384.936716,1973.835927,1266.860257,1583.653168,939.046206,2254.005725,1080.865168,33125.335011,7253.44547,8537.765791,7740.221673,2489.149577
06,39,092,1,Valdeolea,2,39092,Campoo-Los Valles,-4.1855281820000005,42.9057520415,06,39,092,Valdeolea,2,Campoo-Los Valles,1017.329197,94.400724,7.237073,4.972708,11588.786415,2811.645045,3798.637543,1907.005969,4266.61032,1898.230244,3971.017045,2213.556628,51475.785248,9923.109383,4621.287201,4632.897484,3965.31269
06,39,093,7,Valdeprado del Río,2,39093,Campoo-Los Valles,-4.0621042606,42.89408220333333,06,39,093,Valdeprado del Río,2,Campoo-Los Valles,982.275248,101.976454,10.039598,5.362587,13750.445332,2250.080835,5564.194968,2739.39437,5643.054025,2735.000727,6033.720958,2582.962522,51990.2861,9593.630535,8186.663543,8636.859948,6189.523323
06,39,094,2,Valderredible,2,39094,Campoo-Los Valles,-3.9678891954615385,42.83420912365385,06,39,094,Valderredible,2,Campoo-Los Valles,908.643266,120.341901,9.300841,6.193033,24056.449074,4195.365309,8072.560186,2940.334138,14883.893608,6033.461711,13970.822036,5029.685904,55422.1532,12952.958655,7137.906219,7157.589219,3746.600435
