,Source,Target,Date,TransactionAmt
0,39017,39059,2011,50
1,39017,39075,2011,648
2,39027,39027,2011,1
3,39027,39059,2011,334
4,39027,39075,2011,3485
5,39032,39059,2011,150
6,39032,39075,2011,1655
7,39059,39027,2011,1
8,39059,39059,2011,845
9,39059,39075,2011,9946
10,39059,39077,2011,2
11,39065,39059,2011,18
12,39065,39075,2011,248
13,39070,39059,2011,9
14,39070,39075,2011,147
15,39077,39059,2011,18
16,39077,39075,2011,269
17,39077,39077,2011,1
18,39092,39059,2011,99
19,39092,39075,2011,1064
20,39093,39059,2011,28
21,39093,39075,2011,275
